block,bid_price_eur_mwh,P_accept
00-04,26.6,0.22191780821917806
00-04,27.0,0.2191780821917808
00-04,27.08,0.21643835616438356
00-04,27.1,0.2136986301369863
00-04,27.78,0.21095890410958906
00-04,27.83,0.2082191780821918
00-04,27.92,0.20547945205479456
00-04,28.42,0.20273972602739732
00-04,28.65,0.19999999999999996
00-04,28.78,0.1972602739726027
00-04,29.0,0.19452054794520546
00-04,29.0,0.1917808219178082
00-04,29.0,0.18904109589041096
00-04,29.16,0.1863013698630137
00-04,29.16,0.18356164383561646
00-04,29.35,0.1808219178082192
00-04,29.87,0.17808219178082196
00-04,29.9,0.1753424657534246
00-04,30.0,0.17260273972602735
00-04,30.0,0.1698630136986301
00-04,30.0,0.16712328767123286
00-04,30.21,0.1643835616438356
00-04,31.4,0.16164383561643836
00-04,31.49,0.1589041095890411
00-04,32.17,0.15616438356164386
00-04,32.3,0.1534246575342466
00-04,32.96,0.15068493150684936
00-04,33.15,0.147945205479452
00-04,33.2,0.14520547945205475
00-04,33.46,0.1424657534246575
00-04,33.54,0.13972602739726026
00-04,33.68,0.136986301369863
00-04,34.0,0.13424657534246576
00-04,34.23,0.1315068493150685
00-04,34.47,0.12876712328767126
00-04,34.7,0.126027397260274
00-04,34.73,0.12328767123287676
00-04,35.0,0.1205479452054794
00-04,35.0,0.11780821917808215
00-04,35.0,0.1150684931506849
00-04,35.08,0.11232876712328765
00-04,35.84,0.1095890410958904
00-04,36.46,0.10684931506849316
00-04,37.26,0.1041095890410959
00-04,38.0,0.10136986301369866
00-04,38.0,0.09863013698630141
00-04,38.0,0.09589041095890416
00-04,38.99,0.0931506849315068
00-04,39.2,0.09041095890410955
00-04,39.87,0.0876712328767123
00-04,41.01,0.08493150684931505
00-04,45.0,0.0821917808219178
00-04,45.0,0.07945205479452055
00-04,46.51,0.0767123287671233
00-04,46.54,0.07397260273972606
00-04,47.0,0.07123287671232881
00-04,47.58,0.06849315068493156
00-04,47.59,0.0657534246575342
00-04,48.15,0.06301369863013695
00-04,48.75,0.0602739726027397
00-04,49.0,0.05753424657534245
00-04,49.0,0.0547945205479452
00-04,49.87,0.05205479452054795
00-04,50.0,0.049315068493150704
00-04,50.0,0.046575342465753455
00-04,50.0,0.043835616438356206
00-04,50.31,0.04109589041095896
00-04,51.49,0.0383561643835616
00-04,52.09,0.03561643835616435
00-04,53.88,0.0328767123287671
00-04,55.0,0.03013698630136985
00-04,58.19,0.0273972602739726
00-04,59.2,0.024657534246575352
00-04,60.5,0.021917808219178103
00-04,65.1,0.019178082191780854
00-04,67.71,0.016438356164383605
00-04,80.0,0.013698630136986356
00-04,87.1,0.010958904109588996
00-04,97.46,0.008219178082191747
00-04,99.0,0.005479452054794498
00-04,120.0,0.002739726027397249
00-04,149.0,0.0
04-08,2.34,0.9972451790633609
04-08,2.69,0.9944903581267217
04-08,2.9,0.9917355371900827
04-08,3.2,0.9889807162534435
04-08,3.34,0.9862258953168044
04-08,3.45,0.9834710743801653
04-08,3.68,0.9807162534435262
04-08,3.8,0.977961432506887
04-08,4.1,0.9752066115702479
04-08,4.1,0.9724517906336088
04-08,4.5,0.9696969696969697
04-08,4.5,0.9669421487603306
04-08,4.59,0.9641873278236914
04-08,4.74,0.9614325068870524
04-08,4.9,0.9586776859504132
04-08,5.0,0.9559228650137741
04-08,5.0,0.953168044077135
04-08,5.0,0.9504132231404958
04-08,5.0,0.9476584022038568
04-08,5.0,0.9449035812672176
04-08,5.16,0.9421487603305785
04-08,5.27,0.9393939393939394
04-08,5.31,0.9366391184573003
04-08,5.45,0.9338842975206612
04-08,5.56,0.931129476584022
04-08,5.6,0.9283746556473829
04-08,5.64,0.9256198347107438
04-08,5.7,0.9228650137741047
04-08,5.74,0.9201101928374655
04-08,5.9,0.9173553719008265
04-08,5.9,0.9146005509641874
04-08,6.0,0.9118457300275482
04-08,6.0,0.9090909090909091
04-08,6.0,0.9063360881542699
04-08,6.0,0.9035812672176309
04-08,6.0,0.9008264462809917
04-08,6.0,0.8980716253443526
04-08,6.07,0.8953168044077136
04-08,6.12,0.8925619834710744
04-08,6.13,0.8898071625344353
04-08,6.14,0.8870523415977961
04-08,6.18,0.884297520661157
04-08,6.35,0.8815426997245179
04-08,6.55,0.8787878787878788
04-08,6.6,0.8760330578512396
04-08,6.72,0.8732782369146006
04-08,6.75,0.8705234159779615
04-08,6.75,0.8677685950413223
04-08,6.76,0.8650137741046832
04-08,6.8,0.862258953168044
04-08,6.86,0.859504132231405
04-08,6.96,0.8567493112947658
04-08,7.0,0.8539944903581267
04-08,7.0,0.8512396694214877
04-08,7.0,0.8484848484848485
04-08,7.0,0.8457300275482094
04-08,7.0,0.8429752066115702
04-08,7.0,0.8402203856749311
04-08,7.0,0.837465564738292
04-08,7.05,0.8347107438016529
04-08,7.05,0.8319559228650137
04-08,7.18,0.8292011019283747
04-08,7.29,0.8264462809917356
04-08,7.44,0.8236914600550964
04-08,7.46,0.8209366391184573
04-08,7.5,0.8181818181818181
04-08,7.52,0.8154269972451791
04-08,7.52,0.8126721763085399
04-08,7.59,0.8099173553719008
04-08,7.6,0.8071625344352618
04-08,7.69,0.8044077134986226
04-08,7.94,0.8016528925619835
04-08,8.0,0.7988980716253443
04-08,8.0,0.7961432506887052
04-08,8.0,0.7933884297520661
04-08,8.0,0.790633608815427
04-08,8.0,0.7878787878787878
04-08,8.0,0.7851239669421488
04-08,8.0,0.7823691460055097
04-08,8.05,0.7796143250688705
04-08,8.08,0.7768595041322314
04-08,8.14,0.7741046831955922
04-08,8.22,0.7713498622589532
04-08,8.3,0.768595041322314
04-08,8.36,0.7658402203856749
04-08,8.38,0.7630853994490359
04-08,8.46,0.7603305785123967
04-08,8.5,0.7575757575757576
04-08,8.55,0.7548209366391184
04-08,8.64,0.7520661157024793
04-08,8.66,0.7493112947658402
04-08,8.71,0.7465564738292011
04-08,8.74,0.743801652892562
04-08,8.78,0.7410468319559229
04-08,8.8,0.7382920110192838
04-08,8.81,0.7355371900826446
04-08,8.86,0.7327823691460056
04-08,8.9,0.7300275482093663
04-08,9.0,0.7272727272727273
04-08,9.0,0.7245179063360881
04-08,9.0,0.721763085399449
04-08,9.1,0.71900826446281
04-08,9.15,0.7162534435261708
04-08,9.2,0.7134986225895317
04-08,9.23,0.7107438016528926
04-08,9.29,0.7079889807162534
04-08,9.3,0.7052341597796143
04-08,9.32,0.7024793388429752
04-08,9.39,0.699724517906336
04-08,9.46,0.696969696969697
04-08,9.75,0.6942148760330579
04-08,9.78,0.6914600550964187
04-08,9.87,0.6887052341597797
04-08,9.89,0.6859504132231404
04-08,9.92,0.6831955922865014
04-08,10.0,0.6804407713498623
04-08,10.0,0.6776859504132231
04-08,10.0,0.6749311294765841
04-08,10.0,0.6721763085399449
04-08,10.06,0.6694214876033058
04-08,10.13,0.6666666666666667
04-08,10.26,0.6639118457300275
04-08,10.5,0.6611570247933884
04-08,10.79,0.6584022038567493
04-08,10.8,0.6556473829201102
04-08,10.9,0.6528925619834711
04-08,10.94,0.650137741046832
04-08,10.97,0.6473829201101928
04-08,11.0,0.6446280991735538
04-08,11.0,0.6418732782369145
04-08,11.0,0.6391184573002755
04-08,11.11,0.6363636363636364
04-08,11.13,0.6336088154269972
04-08,11.15,0.6308539944903582
04-08,11.16,0.628099173553719
04-08,11.51,0.6253443526170799
04-08,11.57,0.6225895316804408
04-08,11.57,0.6198347107438016
04-08,11.7,0.6170798898071626
04-08,11.75,0.6143250688705234
04-08,11.82,0.6115702479338843
04-08,11.88,0.6088154269972452
04-08,11.9,0.6060606060606061
04-08,11.96,0.6033057851239669
04-08,11.98,0.6005509641873279
04-08,12.0,0.5977961432506886
04-08,12.0,0.5950413223140496
04-08,12.0,0.5922865013774105
04-08,12.0,0.5895316804407713
04-08,12.0,0.5867768595041323
04-08,12.01,0.5840220385674931
04-08,12.1,0.581267217630854
04-08,12.21,0.578512396694215
04-08,12.29,0.5757575757575757
04-08,12.33,0.5730027548209367
04-08,12.46,0.5702479338842975
04-08,12.53,0.5674931129476584
04-08,12.63,0.5647382920110193
04-08,12.81,0.5619834710743802
04-08,12.9,0.559228650137741
04-08,12.9,0.556473829201102
04-08,12.9,0.5537190082644627
04-08,13.0,0.5509641873278237
04-08,13.0,0.5482093663911846
04-08,13.11,0.5454545454545454
04-08,13.24,0.5426997245179064
04-08,13.58,0.5399449035812672
04-08,13.58,0.5371900826446281
04-08,13.72,0.534435261707989
04-08,13.79,0.5316804407713498
04-08,13.9,0.5289256198347108
04-08,14.0,0.5261707988980716
04-08,14.0,0.5234159779614325
04-08,14.0,0.5206611570247934
04-08,14.0,0.5179063360881543
04-08,14.0,0.5151515151515151
04-08,14.0,0.5123966942148761
04-08,14.03,0.5096418732782368
04-08,14.06,0.5068870523415978
04-08,14.09,0.5041322314049587
04-08,14.17,0.5013774104683195
04-08,14.3,0.4986225895316805
04-08,14.63,0.49586776859504134
04-08,14.97,0.4931129476584022
04-08,15.0,0.49035812672176304
04-08,15.0,0.487603305785124
04-08,15.0,0.48484848484848486
04-08,15.0,0.4820936639118457
04-08,15.0,0.47933884297520657
04-08,15.0,0.47658402203856753
04-08,15.0,0.4738292011019284
04-08,15.0,0.47107438016528924
04-08,15.1,0.4683195592286501
04-08,15.12,0.46556473829201106
04-08,15.28,0.4628099173553719
04-08,15.4,0.46005509641873277
04-08,15.64,0.4573002754820936
04-08,15.69,0.4545454545454546
04-08,15.98,0.45179063360881544
04-08,16.0,0.4490358126721763
04-08,16.0,0.44628099173553715
04-08,16.0,0.4435261707988981
04-08,16.2,0.44077134986225897
04-08,16.23,0.4380165289256198
04-08,16.32,0.4352617079889807
04-08,16.59,0.43250688705234164
04-08,16.71,0.4297520661157025
04-08,16.8,0.42699724517906334
04-08,16.96,0.4242424242424242
04-08,17.0,0.42148760330578516
04-08,17.0,0.418732782369146
04-08,17.0,0.41597796143250687
04-08,17.0,0.4132231404958677
04-08,17.02,0.4104683195592287
04-08,17.15,0.40771349862258954
04-08,17.16,0.4049586776859504
04-08,17.17,0.40220385674931125
04-08,17.18,0.3994490358126722
04-08,17.2,0.39669421487603307
04-08,17.26,0.3939393939393939
04-08,17.27,0.3911845730027548
04-08,17.41,0.38842975206611574
04-08,17.48,0.3856749311294766
04-08,17.5,0.38292011019283745
04-08,17.5,0.3801652892561983
04-08,17.55,0.37741046831955927
04-08,17.57,0.3746556473829201
04-08,17.73,0.371900826446281
04-08,17.77,0.36914600550964183
04-08,17.89,0.3663911845730028
04-08,17.9,0.36363636363636365
04-08,17.9,0.3608815426997245
04-08,18.0,0.35812672176308535
04-08,18.0,0.3553719008264463
04-08,18.0,0.3526170798898072
04-08,18.0,0.349862258953168
04-08,18.05,0.3471074380165289
04-08,18.08,0.34435261707988984
04-08,18.53,0.3415977961432507
04-08,18.8,0.33884297520661155
04-08,19.0,0.3360881542699724
04-08,19.0,0.33333333333333337
04-08,19.0,0.3305785123966942
04-08,19.06,0.3278236914600551
04-08,19.29,0.32506887052341593
04-08,19.43,0.3223140495867769
04-08,19.58,0.31955922865013775
04-08,19.69,0.3168044077134986
04-08,19.76,0.31404958677685946
04-08,19.94,0.3112947658402204
04-08,19.97,0.3085399449035813
04-08,20.0,0.30578512396694213
04-08,20.0,0.303030303030303
04-08,20.0,0.30027548209366395
04-08,20.0,0.2975206611570248
04-08,20.0,0.29476584022038566
04-08,20.0,0.2920110192837465
04-08,20.0,0.2892561983471075
04-08,20.0,0.2865013774104683
04-08,20.0,0.2837465564738292
04-08,20.0,0.28099173553719003
04-08,20.02,0.278236914600551
04-08,20.02,0.27548209366391185
04-08,20.16,0.2727272727272727
04-08,20.29,0.26997245179063356
04-08,20.99,0.2672176308539945
04-08,21.0,0.2644628099173554
04-08,21.0,0.26170798898071623
04-08,21.0,0.2589531680440771
04-08,21.0,0.25619834710743805
04-08,21.09,0.2534435261707989
04-08,21.2,0.25068870523415976
04-08,21.31,0.2479338842975206
04-08,21.76,0.24517906336088158
04-08,22.0,0.24242424242424243
04-08,22.0,0.23966942148760328
04-08,22.0,0.23691460055096414
04-08,22.1,0.2341597796143251
04-08,22.11,0.23140495867768596
04-08,22.19,0.2286501377410468
04-08,22.48,0.22589531680440766
04-08,22.5,0.22314049586776863
04-08,22.67,0.22038567493112948
04-08,23.0,0.21763085399449034
04-08,23.24,0.2148760330578512
04-08,23.6,0.21212121212121215
04-08,23.73,0.209366391184573
04-08,23.87,0.20661157024793386
04-08,24.0,0.20385674931129472
04-08,24.0,0.20110192837465568
04-08,24.35,0.19834710743801653
04-08,24.85,0.1955922865013774
04-08,24.94,0.19283746556473824
04-08,25.0,0.1900826446280992
04-08,25.0,0.18732782369146006
04-08,25.0,0.18457300275482091
04-08,25.0,0.18181818181818177
04-08,25.0,0.17906336088154273
04-08,25.0,0.1763085399449036
04-08,25.02,0.17355371900826444
04-08,25.08,0.1707988980716253
04-08,25.15,0.16804407713498626
04-08,25.98,0.1652892561983471
04-08,26.37,0.16253443526170797
04-08,26.73,0.15977961432506882
04-08,27.0,0.15702479338842978
04-08,27.02,0.15426997245179064
04-08,27.59,0.1515151515151515
04-08,27.9,0.14876033057851235
04-08,29.24,0.1460055096418733
04-08,29.39,0.14325068870523416
04-08,29.7,0.14049586776859502
04-08,29.75,0.13774104683195587
04-08,29.77,0.13498622589531684
04-08,29.9,0.1322314049586777
04-08,30.0,0.12947658402203854
04-08,30.0,0.1267217630853994
04-08,30.0,0.12396694214876036
04-08,30.0,0.12121212121212122
04-08,30.0,0.11845730027548207
04-08,32.44,0.11570247933884292
04-08,32.65,0.11294765840220389
04-08,33.34,0.11019283746556474
04-08,34.0,0.1074380165289256
04-08,35.0,0.10468319559228645
04-08,35.0,0.10192837465564741
04-08,35.0,0.09917355371900827
04-08,35.43,0.09641873278236912
04-08,37.82,0.09366391184572997
04-08,38.0,0.09090909090909094
04-08,38.41,0.0881542699724518
04-08,39.0,0.08539944903581265
04-08,40.0,0.0826446280991735
04-08,42.36,0.07988980716253447
04-08,44.31,0.07713498622589532
04-08,44.45,0.07438016528925617
04-08,45.0,0.07162534435261703
04-08,45.0,0.06887052341597799
04-08,45.0,0.06611570247933884
04-08,45.11,0.0633608815426997
04-08,46.73,0.06060606060606055
04-08,49.0,0.05785123966942152
04-08,49.0,0.05509641873278237
04-08,50.0,0.052341597796143224
04-08,50.0,0.04958677685950408
04-08,50.0,0.04683195592286504
04-08,50.0,0.0440771349862259
04-08,50.0,0.04132231404958675
04-08,50.0,0.038567493112947604
04-08,50.04,0.03581267217630857
04-08,52.0,0.03305785123966942
04-08,55.0,0.030303030303030276
04-08,55.0,0.02754820936639113
04-08,55.76,0.024793388429752095
04-08,59.15,0.02203856749311295
04-08,65.0,0.019283746556473802
04-08,68.23,0.016528925619834656
04-08,72.23,0.01377410468319562
04-08,75.0,0.011019283746556474
04-08,80.0,0.008264462809917328
04-08,82.0,0.0055096418732781816
04-08,99.0,0.0027548209366391463
04-08,100.0,0.0
08-12,2.94,0.9972451790633609
08-12,3.8,0.9944903581267217
08-12,4.2,0.9917355371900827
08-12,4.4,0.9889807162534435
08-12,4.49,0.9862258953168044
08-12,4.5,0.9834710743801653
08-12,4.78,0.9807162534435262
08-12,4.84,0.977961432506887
08-12,4.9,0.9752066115702479
08-12,5.2,0.9724517906336088
08-12,5.33,0.9696969696969697
08-12,5.56,0.9669421487603306
08-12,5.57,0.9641873278236914
08-12,5.59,0.9614325068870524
08-12,5.62,0.9586776859504132
08-12,5.62,0.9559228650137741
08-12,5.9,0.953168044077135
08-12,6.0,0.9504132231404958
08-12,6.09,0.9476584022038568
08-12,6.11,0.9449035812672176
08-12,6.13,0.9421487603305785
08-12,6.18,0.9393939393939394
08-12,6.29,0.9366391184573003
08-12,6.4,0.9338842975206612
08-12,6.42,0.931129476584022
08-12,6.54,0.9283746556473829
08-12,6.58,0.9256198347107438
08-12,6.64,0.9228650137741047
08-12,6.67,0.9201101928374655
08-12,7.0,0.9173553719008265
08-12,7.0,0.9146005509641874
08-12,7.0,0.9118457300275482
08-12,7.0,0.9090909090909091
08-12,7.0,0.9063360881542699
08-12,7.13,0.9035812672176309
08-12,7.14,0.9008264462809917
08-12,7.2,0.8980716253443526
08-12,7.21,0.8953168044077136
08-12,7.27,0.8925619834710744
08-12,7.3,0.8898071625344353
08-12,7.33,0.8870523415977961
08-12,7.37,0.884297520661157
08-12,7.7,0.8815426997245179
08-12,7.8,0.8787878787878788
08-12,7.9,0.8760330578512396
08-12,7.94,0.8732782369146006
08-12,8.0,0.8705234159779615
08-12,8.0,0.8677685950413223
08-12,8.0,0.8650137741046832
08-12,8.0,0.862258953168044
08-12,8.0,0.859504132231405
08-12,8.0,0.8567493112947658
08-12,8.0,0.8539944903581267
08-12,8.0,0.8512396694214877
08-12,8.0,0.8484848484848485
08-12,8.11,0.8457300275482094
08-12,8.11,0.8429752066115702
08-12,8.17,0.8402203856749311
08-12,8.33,0.837465564738292
08-12,8.4,0.8347107438016529
08-12,8.47,0.8319559228650137
08-12,8.5,0.8292011019283747
08-12,8.5,0.8264462809917356
08-12,8.57,0.8236914600550964
08-12,8.73,0.8209366391184573
08-12,8.82,0.8181818181818181
08-12,8.84,0.8154269972451791
08-12,8.88,0.8126721763085399
08-12,8.89,0.8099173553719008
08-12,8.92,0.8071625344352618
08-12,8.96,0.8044077134986226
08-12,9.0,0.8016528925619835
08-12,9.0,0.7988980716253443
08-12,9.0,0.7961432506887052
08-12,9.0,0.7933884297520661
08-12,9.0,0.790633608815427
08-12,9.0,0.7878787878787878
08-12,9.12,0.7851239669421488
08-12,9.17,0.7823691460055097
08-12,9.28,0.7796143250688705
08-12,9.3,0.7768595041322314
08-12,9.37,0.7741046831955922
08-12,9.4,0.7713498622589532
08-12,9.44,0.768595041322314
08-12,9.47,0.7658402203856749
08-12,9.5,0.7630853994490359
08-12,9.57,0.7603305785123967
08-12,9.78,0.7575757575757576
08-12,9.78,0.7548209366391184
08-12,9.82,0.7520661157024793
08-12,9.86,0.7493112947658402
08-12,9.88,0.7465564738292011
08-12,9.9,0.743801652892562
08-12,10.0,0.7410468319559229
08-12,10.0,0.7382920110192838
08-12,10.0,0.7355371900826446
08-12,10.0,0.7327823691460056
